iter	RMSE
0	112340.9154
1	109249.9517
2	106254.7169
3	103360.3171
4	100778.3647
5	98443.16976
6	96044.12382
7	93958.20125
8	92002.75436
9	90185.82745
10	88459.92178
11	86879.71098
12	85443.82441
13	84049.51087
14	82690.23292
15	81533.12701
16	80323.43561
17	79211.97182
18	78254.39852
19	77280.85062
20	76460.0459
21	75628.4542
22	74852.77327
23	74102.75799
24	73441.22323
25	72769.69783
26	72173.53527
27	71623.9011
28	70972.39406
29	70468.97367
30	69995.91073
31	69531.93967
32	69083.01922
33	68631.26642
34	68245.85707
35	67752.33185
36	67431.19369
37	67109.41848
38	66786.96186
39	66470.00643
40	66088.9645
41	65820.85459
42	65555.69485
43	65283.25919
44	64994.86179
45	64712.61506
46	64477.90069
47	64245.59197
48	64036.91539
49	63826.27113
50	63607.10232
51	63430.55211
52	63156.37673
53	62945.70181
54	62653.31585
55	62482.62208
56	62278.731
57	62116.25039
58	61925.3129
59	61762.34212
60	61611.85767
61	61474.9439
62	61341.75615
63	61227.40562
64	61058.2378
65	60910.12627
66	60755.2351
67	60497.3494
68	60343.88663
69	60221.26641
70	60047.69146
71	59934.84125
72	59815.01018
73	59693.11128
74	59524.48546
75	59296.68942
76	59032.1764
77	58920.67032
78	58821.69354
79	58727.97968
80	58503.86928
81	58415.40802
82	58325.09713
83	58197.46678
84	58022.08468
85	57924.08686
86	57805.53368
87	57709.74221
88	57615.97791
89	57484.87939
90	57291.98582
91	57188.69157
92	57096.89557
93	57039.14947
94	56988.17875
95	56913.01821
96	56812.02797
97	56662.44628
98	56572.25166
99	56508.02472
100	56414.98499
101	56325.30663
102	56250.41191
103	56164.04344
104	56042.07825
105	55952.36871
106	55854.74977
107	55770.73745
108	55579.09662
109	55500.11678
110	55389.36432
111	55276.1619
112	55124.24174
113	55056.68257
114	54905.28851
115	54841.23444
116	54777.93918
117	54689.63329
118	54607.45008
119	54535.74876
120	54446.84826
121	54385.05322
122	54336.4829
123	54267.84017
124	54227.79547
125	54189.7504
126	54147.15111
127	54042.48184
128	53966.3173
129	53901.55998
130	53851.86873
131	53811.19107
132	53761.68637
133	53663.37192
134	53618.92486
135	53557.96856
136	53513.62112
137	53430.1201
138	53355.49014
139	53308.59362
140	53238.96447
141	53145.80141
142	53090.41278
143	53035.83419
144	52977.65617
145	52924.88052
146	52866.88154
147	52810.89468
148	52754.96034
149	52715.8147
150	52659.06838
151	52599.41709
152	52537.95391
153	52514.12375
154	52472.98659
155	52425.49084
156	52376.882
157	52342.61576
158	52285.57333
159	52229.57036
160	52176.0592
161	52128.28756
162	52084.58974
163	52042.57796
164	51998.07265
165	51968.93013
166	51927.37021
167	51843.44878
168	51777.54529
169	51736.94993
170	51651.45777
171	51619.20266
172	51585.09438
173	51536.44565
174	51474.48394
175	51405.69259
176	51373.0695
177	51305.59634
178	51274.05697
179	51246.40464
180	51201.68967
181	51151.86992
182	51115.24976
183	51060.3689
184	51031.27247
185	50973.59144
186	50939.91726
187	50911.78939
188	50881.08494
189	50829.95673
190	50812.85663
191	50760.90458
192	50714.25643
193	50685.57808
194	50602.91966
195	50558.18992
196	50527.05226
197	50495.97838
198	50446.83602
199	50403.15982
200	50375.94448
201	50325.22894
202	50275.08748
203	50236.39307
204	50214.88074
205	50137.06446
206	50108.37017
207	50077.62522
208	50045.03687
209	50000.95773
210	49974.02405
211	49942.35422
212	49920.53921
213	49872.69559
214	49848.61963
215	49821.07438
216	49800.21845
217	49757.6186
218	49716.36369
219	49676.7715
220	49643.82651
221	49606.14849
222	49573.01755
