iter	Passed	Remaining
0	48	24157
1	50	12550
2	52	8642
3	53	6693
4	55	5516
5	57	4734
6	59	4174
7	61	3752
8	62	3423
9	65	3186
10	67	2994
11	69	2835
12	71	2690
13	73	2556
14	75	2441
15	77	2352
16	79	2259
17	81	2176
18	83	2103
19	84	2036
20	86	1982
21	90	1956
22	92	1924
23	95	1893
24	97	1859
25	99	1819
26	101	1782
27	103	1745
28	105	1711
29	107	1679
30	108	1648
31	110	1621
32	112	1593
33	114	1567
34	116	1543
35	117	1519
36	119	1497
37	122	1484
38	123	1463
39	125	1444
40	127	1425
41	129	1408
42	131	1392
43	132	1375
44	134	1359
45	136	1344
46	137	1329
47	139	1315
48	141	1301
49	143	1288
50	144	1276
51	146	1264
52	148	1255
53	151	1252
54	154	1250
55	157	1247
56	159	1242
57	161	1234
58	163	1223
59	165	1212
60	167	1203
61	168	1192
62	170	1183
63	172	1173
64	174	1164
65	175	1156
66	177	1148
67	179	1140
68	181	1132
69	183	1124
70	184	1117
71	186	1109
72	188	1101
73	190	1094
74	191	1087
75	193	1080
76	195	1074
77	197	1067
78	199	1061
79	200	1054
80	202	1048
81	204	1041
82	206	1035
83	207	1029
84	209	1023
85	211	1017
86	213	1012
87	214	1006
88	216	1000
89	218	995
90	220	992
91	223	989
92	225	985
93	228	985
94	229	980
95	231	975
96	233	970
97	235	965
98	237	960
99	239	956
100	240	951
101	242	946
102	244	941
103	246	936
104	247	932
105	249	927
106	251	922
107	253	918
108	254	913
109	256	909
110	258	905
111	260	900
112	261	896
113	263	892
114	265	888
115	267	884
116	269	880
117	270	876
118	272	872
119	274	869
120	276	865
121	277	861
122	279	857
123	281	853
124	283	849
125	284	845
126	286	841
127	288	838
128	290	834
129	292	831
130	293	827
131	295	824
132	297	820
133	299	817
134	300	813
135	302	810
136	304	806
137	306	802
138	307	799
139	309	796
140	311	792
141	313	789
142	314	786
143	316	783
144	318	779
145	320	776
146	321	773
147	323	769
148	325	766
149	327	763
150	329	760
151	330	757
152	332	754
153	334	750
154	336	747
155	337	744
156	339	741
157	341	738
158	342	735
159	344	732
160	346	729
161	348	726
162	350	723
163	351	720
164	353	717
165	355	714
166	357	711
167	358	709
168	360	706
169	362	703
170	364	700
171	365	697
172	367	694
173	369	692
174	371	690
175	373	688
176	377	688
177	379	686
178	381	684
179	384	682
180	386	681
181	388	678
182	389	675
183	391	672
184	393	670
185	395	667
186	397	664
187	398	661
188	400	659
189	402	656
190	403	653
191	405	650
192	407	648
193	409	645
194	411	643
195	412	640
196	414	637
197	416	634
198	418	632
199	420	630
200	421	627
201	423	624
202	425	622
203	426	619
204	428	616
205	430	614
206	432	611
207	433	609
208	435	606
209	437	604
210	439	601
211	440	599
212	442	596
213	444	593
214	446	591
215	447	588
216	449	586
217	451	583
218	453	581
219	454	578
220	456	576
221	458	573
222	460	571
223	461	569
224	463	566
225	465	564
226	467	561
227	468	559
228	470	556
229	472	554
230	474	552
231	475	549
232	477	547
233	479	544
234	481	542
235	482	540
236	484	537
237	486	535
238	488	533
239	489	530
240	491	528
241	493	526
242	495	524
243	497	521
244	498	519
245	500	517
246	502	514
247	504	512
248	506	510
249	508	508
250	509	505
251	511	503
252	513	501
253	515	498
254	516	496
255	518	494
256	520	492
257	522	489
258	524	487
259	525	485
260	527	483
261	529	480
262	531	478
263	532	476
264	534	474
265	536	471
266	538	469
267	539	467
268	541	465
269	543	462
270	545	460
271	547	458
272	549	456
273	551	454
274	553	452
275	555	450
276	556	448
277	558	446
278	560	443
279	562	441
280	563	439
281	565	437
282	567	435
283	569	433
284	571	430
285	572	428
286	574	426
287	576	424
288	578	422
289	580	420
290	581	417
291	583	415
292	585	413
293	587	411
294	589	409
295	591	407
296	593	405
297	595	403
298	597	401
299	598	399
300	600	397
301	602	395
302	604	392
303	606	390
304	607	388
305	609	386
306	611	384
307	612	382
308	614	380
309	616	377
310	618	375
311	620	373
312	622	371
313	624	369
314	626	367
315	628	365
316	630	364
317	632	361
318	634	359
319	636	357
320	637	355
321	639	353
322	641	351
323	642	349
324	644	347
325	646	345
326	648	343
327	650	340
328	651	338
329	653	336
330	655	334
331	657	332
332	659	330
333	660	328
334	662	326
335	664	324
336	666	322
337	668	320
338	669	318
339	671	316
340	673	313
341	675	311
342	676	309
343	678	307
344	680	305
345	682	303
346	683	301
347	685	299
348	687	297
349	689	295
350	691	293
351	692	291
352	694	289
353	696	287
354	698	285
355	700	283
356	702	281
357	703	279
358	705	277
359	707	275
360	709	273
361	710	271
362	712	269
363	714	266
364	716	264
365	718	262
366	719	260
367	721	258
368	723	257
369	725	255
370	727	253
371	729	250
372	731	248
373	732	246
374	734	244
375	736	242
376	738	240
377	739	238
378	741	236
379	743	234
380	745	232
381	746	230
382	748	228
383	750	226
384	752	224
385	753	222
386	755	220
387	757	218
388	759	216
389	760	214
390	762	212
391	764	210
392	766	208
393	767	206
394	769	204
395	771	202
396	773	200
397	774	198
398	776	196
399	778	194
400	780	192
401	781	190
402	783	188
403	785	186
404	787	184
405	788	182
406	790	180
407	792	178
408	794	176
409	795	174
410	797	172
411	799	170
412	801	168
413	802	166
414	804	164
415	806	162
416	808	160
417	810	158
418	811	156
419	813	154
420	815	153
421	817	151
422	818	149
423	820	147
424	822	145
425	824	143
426	825	141
427	827	139
428	829	137
429	831	135
430	833	133
431	834	131
432	836	129
433	838	127
434	840	125
435	841	123
436	843	121
437	845	119
438	847	117
439	848	115
440	850	113
441	852	111
442	853	109
443	855	107
444	857	105
445	859	104
446	861	102
447	863	100
448	864	98
449	866	96
450	868	94
451	870	92
452	872	90
453	873	88
454	875	86
455	877	84
456	879	82
457	880	80
458	882	78
459	884	76
460	886	74
461	888	73
462	889	71
463	891	69
464	893	67
465	894	65
466	896	63
467	898	61
468	900	59
469	902	57
470	903	55
471	905	53
472	907	51
473	909	49
474	910	47
475	912	46
476	914	44
477	916	42
478	918	40
479	919	38
480	921	36
481	923	34
482	925	32
483	926	30
484	928	28
485	930	26
486	931	24
487	933	22
488	935	21
489	937	19
490	938	17
491	940	15
492	942	13
493	944	11
494	945	9
495	947	7
496	949	5
497	951	3
498	952	1
499	954	0
